Squadra 1;Squadra 2;gol per squadra 1T;differenza punti in classifica (sq1sq2);minuti di gioco 1T;cartellini gialli 1;cartellini rossi 1;formazione1;Possesso Palla (min) 1;posizione media (mt) 1;calci d angolo 1;calci di punizione cross 1 ;calci di punizione tiri 1;falli fatti 1;fuorigioco 1;passaggi riusciti (percent) 1;passaggi lunghi riusciti (percent)  1;passaggi filtranti riusciti (percent)  1;contropiede 1;occasioni da gol  1;tiri in porta 1;cross 1;parate 1;uscite portiere 1;recupero palla per fine azione 1;recupero palla effettivo 1;recupero palla temporaneo 1;somma punti nelle due partite precedenti 1;valore rosa squadra 1;valore di mercato squadra Mln eur 1;cartellini gialli 2;cartellini rossi 2;formazione2;Possesso Palla (min) 2;posizione media (mt) 2 ;calci dangolo 2;calci di punizione cross 2 ;calci di punizione tiri 2;falli fatti 2;fuorigioco 2;passaggi riusciti  (percent) 2;passaggi lunghi riusciti (percent)   2;passaggi filtranti riusciti (percent)  2;contropiede 2;occasioni da gol  2;tiri in porta 2;cross 2;parate 2;uscite portiere 2;recupero palla per fine azione 2;recupero palla effettivo 2;recupero palla temporaneo 2;somma punti nelle due partite precedenti 2;valore rosa squadra 2;valore di mercato squadra Mln eur 2;risultato
Empoli;Internazionale;0;-7;46;0;0;4312;17;53.37;4;1;0;5;1;84.8;80;45.5;2;4;7;3;1;1;20;19;21;1;45.73;1.83;0;0;4312;12;42.59;2;1;0;10;0;73.1;54.8;33.3;0;2;2;0;1;2;17;32;14;4;247.2;8.83;x
Hellas Verona;Atalanta;0;1;45;1;0;532;17;55.28;0;1;0;5;0;85.9;68.8;66.7;0;6;6;6;2;1;13;23;10;3;38.85;1.39;1;0;442;16;47.4;0;0;0;6;0;86.8;70;0;0;5;6;7;2;2;17;28;11;4;53.75;1.79;A
Internazionale;Torino;0;4;48;0;0;4231;22;56.19;6;0;0;6;2;92.2;60;20;0;4;7;1;0;0;19;25;7;4;247.2;8.83;0;0;352;10;40;3;0;0;8;0;74.6;52.8;33.3;3;1;1;2;1;1;17;8;17;4;61.3;2.19;B
Juventus;Chievo;0;28;50;1;0;4312;15;56.45;7;1;1;9;1;84.8;78.3;0;2;11;15;5;0;1;14;30;13;6;318.2;11.79;4;0;4411;10;43.78;0;1;1;10;0;73;56;33.3;0;2;3;1;3;3;13;15;17;1;47.2;1.97;A
Empoli;Udinese;1;-5;47;1;0;4312;16;;2;1;2;4;0;84.2;45.2;40;2;7;8;4;1;0;19;33;14;1;45.73;1.83;1;0;352;13;44.6;3;2;0;9;2;68.8;61.9;0;1;1;4;4;3;1;21;14;20;2;87.9;2.93;B
Atalanta;Cagliari;1;1;46;2;0;442;15;48.58;8;1;0;7;1;79.5;56.4;60;0;4;4;5;3;0;18;18;24;3;55.05;1.84;2;0;4321;15;48.33;3;1;0;8;1;83.6;58.3;20;0;5;5;0;2;1;20;15;18;4;66.3;2.07;A
Cesena;Lazio;0;-22;47;0;0;4312;14;51.89;1;0;0;9;1;79.9;72.4;50;1;2;6;4;4;3;17;26;8;3;24.75;0.95;0;0;433;16;49.98;4;1;1;4;1;80.3;61.8;28.6;0;4;6;2;0;0;25;18;20;3;156.1;4.88;A
Chievo;Napoli;1;-18;95;0;0;442;14;51.45;1;3;0;3;2;81.8;64;0;0;7;9;7;1;2;10;30;17;0;50.7;2.03;0;0;4231;16;51.52;5;0;0;8;3;84.3;47.4;28.6;15;5;4;2;1;1;19;24;14;6;252.95;9.37;B
Milan;Parma;1;23;45;2;0;4231;19;48.43;0;1;2;11;1;90.1;70.5;50;0;5;7;2;3;1;13;19;13;0;212.9;7.34;2;0;4231;12;51.12;4;2;0;10;1;79.3;53.8;33.3;0;3;6;2;3;2;16;17;11;0;64.25;2.07;A
Palermo;Hellas Verona;1;3;47;0;0;3421;20;54.79;5;2;1;;1;91.3;35.7;0;;4;7;2;2;0;13;36;9;2;66.8;2.15;1;0;352;;45.67;2;0;0;5;1;78.1;55.2;0;3;1;2;1;3;0;14;19;13;3;38.65;1.43;A
Udinese;Juventus;0;-22;45;0;0;352;12;45.05;1;0;0;6;3;75;50;57.1;3;5;6;1;1;1;15;23;15;4;80.1;2.67;0;0;352;19;55.95;5;2;0;5;2;83.4;41.4;0;0;5;7;3;2;1;25;19;18;6;320;11.43;x
Fiorentina;Atalanta;1;9;46;0;0;3511;18;52.62;1;2;1;6;0;84.2;61.9;0;0;4;7;3;3;0;14;25;18;2;197.25;5.8;1;0;4411;13;47.91;4;0;0;11;2;72.6;59.1;0;0;5;8;3;2;0;16;18;21;3;55.05;1.84;A
Sampdoria;Sassuolo;1;6;47;1;0;4312;13;44.03;2;2;0;14;5;78.7;33.3;0;0;2;4;1;3;0;19;11;14;1;109.5;3.91;3;0;433;12;53.71;3;2;1;12;0;77;74.2;28.6;1;5;7;3;2;0;21;23;12;3;80.68;3.23;x
Parma;Chievo;0;-15;47;3;1;433;14;52.71;2;1;0;17;0;82.2;73.8;0;1;6;6;3;0;2;20;37;15;0;64.25;2.07;0;0;442;16;50.45;0;2;0;11;1;74.4;51.4;0;0;1;2;3;1;0;17;31;13;0;50.7;2.03;B
Roma;Parma;0;43;45;0;0;433;21;54.47;5;2;0;0;0;89.1;85.2;25;0;8;9;5;0;2;20;22;14;4;260.7;8.69;1;0;4411;12;43.93;3;0;0;8;2;75.6;47.1;50;1;1;3;1;2;2;16;24;8;0;47.85;1.84;x
Torino;Cagliari;1;12;46;1;0;352;14;48.35;2;1;0;11;3;80.9;42.9;75;0;5;7;3;2;0;13;14;20;6;57.7;2.31;0;0;4312;15;50.12;1;2;1;7;0;81.9;57.1;10;0;2;5;1;2;1;19;19;18;0;61.6;2.12;x
Fiorentina;Torino;0;6;46;1;0;3421;17;62.37;5;0;3;11;1;87.7;70.4;60;4;6;10;2;1;0;14;30;9;6;171.95;5.37;2;0;352;13;39.18;0;0;0;9;1;83.7;70.3;0;4;4;4;1;3;1;17;15;12;4;57.7;2.31;x
Hellas Verona;Roma;1;-23;46;1;0;451;8;45.73;5;1;0;7;2;68.8;62.5;0;1;2;3;2;4;0;14;18;12;0;38.45;1.42;0;0;4312;;54.27;3;3;1;;2;92.4;71.4;22.2;0;8;9;3;1;0;16;22;9;4;260.7;8.69;x
Lazio;Palermo;1;4;45;1;0;433;18;51.56;4;2;0;8;3;83.2;70.4;33.3;0;4;6;3;3;1;20;27;16;3;152.1;4.91;1;0;352;13;44.06;1;1;0;9;0;76.6;53.8;0;1;6;6;0;2;2;14;27;16;3;63.4;2.26;A
Cagliari;Internazionale;0;-12;45;1;0;4321;12;46.29;1;0;0;10;3;69.9;41.5;0;1;2;3;1;5;4;15;15;14;1;61.6;2.12;1;0;4312;21;51.11;4;0;0;9;0;88.9;64.4;62.5;16;11;12;5;1;1;18;33;7;6;226.7;8.4;B
Napoli;Sassuolo;0;13;47;1;0;4231;15;55.12;4;1;0;10;2;83.4;66.7;0;2;6;7;4;0;0;17;22;13;3;251.25;9.66;1;0;433;14;41.73;1;2;0;6;1;83;58.3;25;5;;4;0;1;1;;27;8;1;82.05;3.04;A
Sampdoria;Genoa;1;0;45;2;0;4312;13;44.34;1;3;0;8;0;76.8;68;11.1;0;5;5;1;3;2;14;20;14;1;108.7;3.88;1;0;343;16;52.58;3;0;1;11;0;86.4;77.8;33.3;0;6;7;4;2;1;;14;19;6;81.8;3.27;x
Chievo;Milan;0;-9;45;0;0;442;12;53.88;3;0;0;8;2;80.7;61.9;57.1;2;0;2;1;2;0;14;24;13;3;52.68;1.95;1;0;4312;20;47.83;1;0;1;7;2;90.4;75;100;1;3;7;2;0;3;;26;7;4;220.9;7.13;x
Cesena;Udinese;0;-12;45;3;0;4312;15;52.45;3;3;0;8;0;83.8;82.4;75;4;0;6;3;1;0;19;22;15;1;25.25;0.94;1;0;3511;12;48.39;4;1;0;8;3;78.3;61.5;25;2;1;3;3;2;1;;16;17;0;77.35;2.86;A
Internazionale;Fiorentina;0;-4;46;0;0;4312;19;52.05;2;1;0;8;1;87.9;67.5;50;8;3;4;3;2;0;12;30;14;6;227.4;8.12;1;0;4141;14;46.37;1;0;1;9;1;84.2;75.9;33.3;5;2;5;3;0;1;;18;15;4;171.95;5.37;B
Palermo;Empoli;0;6;47;1;0;352;14;52.1;3;3;0;5;5;83.9;63.6;60;0;8;10;2;2;0;11;23;16;3;63.4;2.26;2;0;4312;15;47.14;2;0;0;11;2;85.4;57.9;22.2;6;5;6;2;2;0;;21;16;4;43.93;1.91;x
Torino;Napoli;0;-12;46;1;0;352;19;51.16;0;0;0;6;0;87.5;73;25;1;4;5;5;2;0;11;25;14;2;57.7;2.31;1;0;4231;16;52.22;1;1;0;4;1;85.3;66.7;0;5;3;3;0;1;0;;20;12;3;251.25;9.66;A
Roma;Juventus;0;-9;45;2;0;433;19;52.81;0;1;0;6;0;85.6;61.1;0;0;0;2;1;0;2;18;26;12;2;260.7;8.69;1;0;352;12;45.62;4;1;0;7;0;76.2;55.6;30.8;3;2;3;1;0;0;;23;13;4;321.7;11.91;x
Milan;Hellas Verona;1;6;46;1;0;4312;20;54.41;2;2;1;7;0;90.1;53.3;58.3;0;6;8;3;3;2;17;20;15;4;220.9;7.13;1;0;433;11;45.22;1;1;1;9;1;76;65.2;50;11;7;8;1;2;0;;10;23;4;38.45;1.42;x
Cesena;Palermo;0;-15;46;1;0;4312;10;44.08;2;1;0;10;1;77.9;52.9;0;4;1;1;1;1;1;16;20;18;3;25.25;0.94;2;0;4321;18;51.18;2;1;0;8;1;86;75;20;0;2;6;4;1;0;;34;11;1;63.4;2.26;x
Chievo;Roma;0;-24;60;1;0;442;12;52.77;3;1;0;7;1;69.4;56;66.7;0;2;4;5;2;0;17;20;20;1;52.68;1.95;2;0;433;16;44.48;4;0;2;7;0;77.6;50;0;4;4;6;1;0;2;;29;19;2;260.7;8.69;x
Napoli;Internazionale;0;10;46;1;0;4231;13;51.25;3;2;0;7;2;80;56.5;60;9;9;10;2;2;0;20;23;19;3;251.25;9.66;2;0;4312;17;46.6;2;1;0;11;2;83.3;50;66.7;0;4;6;1;4;1;;25;16;3;227.4;8.12;x
Parma;Atalanta;0;-16;45;1;0;4411;15;50.45;2;0;0;12;0;83.3;52;0;3;3;4;4;2;1;15;20;16;3;43.25;1.8;0;0;433;18;47.76;1;0;0;7;0;84.1;48.6;0;3;1;6;3;2;2;;25;5;0;54.35;1.87;x
Juventus;Sassuolo;0;29;45;1;0;4312;19;56.73;8;1;0;11;0;83;61.8;0;5;6;8;2;1;1;21;31;18;4;321.7;11.91;1;0;433;10;39.37;0;1;1;7;0;71.2;45.8;0;5;1;2;0;1;1;;12;27;0;82.85;2.96;A
Palermo;Juventus;0;-26;46;2;0;3511;13;46.26;0;0;0;7;2;80.6;47.1;50;0;0;1;3;1;1;16;20;15;2;63.4;2.26;0;0;352;14;54.31;1;1;0;11;2;85.8;68.4;37.5;4;3;7;3;0;0;10;22;15;4;321.7;11.91;B
Atalanta;Udinese;0;-7;48;2;0;343;18;52.76;2;2;0;8;0;80.2;75;62.5;9;8;9;5;0;0;21;27;26;1;54.35;1.87;0;0;352;15;45.48;1;1;0;7;0;77.3;60;30;0;2;2;1;3;1;;23;25;3;77.35;2.86;x
Genoa;Chievo;0;14;46;2;0;343;15;50.21;1;0;1;12;0;83.9;75;0;2;6;6;1;2;0;14;29;15;4;81.8;3.27;1;0;442;11;48.42;2;3;0;8;2;69.6;66.7;25;0;7;7;0;1;1;20;14;24;2;52.68;1.95;B
Fiorentina;Milan;0;7;45;0;0;3421;14;52.45;0;2;0;4;1;84;53.1;100;1;5;7;4;2;1;17;23;10;3;171.95;5.37;3;0;4321;17;49.16;7;1;0;12;3;85.8;60;37.5;3;2;4;2;2;0;16;27;8;2;220.9;7.13;A
Roma;Sampdoria;0;8;47;0;0;433;19;53.34;6;1;0;6;3;87.4;61.9;36.8;5;7;8;1;0;0;25;24;8;2;260.7;8.69;2;0;451;14;45.4;2;0;0;9;2;78.4;71.4;0;6;0;1;2;7;1;15;24;12;6;108.7;3.88;B
Torino;Lazio;0;-10;45;2;0;352;12;41.95;2;1;0;5;0;84.1;75;;1;2;2;4;2;0;21;12;13;3;57.7;2.31;0;0;433;17;56.43;4;0;0;;3;86.5;77.8;8.3;2;6;6;3;1;1;15;29;7;6;152.1;;B
Empoli;Sassuolo;0;-2;46;0;0;4312;13;52.06;8;1;0;8;0;82.2;56.5;33.3;1;5;6;4;1;2;27;15;28;2;43.93;1.91;1;0;433;14;49.28;2;3;0;7;3;74;60;14.3;5;2;3;3;2;2;20;24;17;3;83.05;2.86;A
Napoli;Atalanta;0;21;46;1;0;4231;16;51.31;4;2;1;7;0;82.2;70.8;55.6;0;5;7;1;2;2;19;17;16;1;251.25;9.66;2;0;4411;13;49.99;5;2;0;9;0;78.9;53.6;16.7;1;3;7;2;3;2;15;18;17;2;54.35;1.87;x
Sampdoria;Internazionale;0;8;45;2;0;433;11;45.24;4;0;0;5;2;79.7;75;100;2;3;5;0;0;0;18;23;11;6;108.7;3.88;3;0;4312;19;54.23;3;0;0;9;0;88.4;65;50;15;2;4;4;1;0;22;18;9;2;227.4;8.12;A
Fiorentina;Sampdoria;0;-2;30;2;0;4321;19;59.88;3;0;0;4;1;83.2;77.5;23.1;2;1;6;3;0;0;23;30;13;4;201.65;6.95;0;0;433;13;42.3;2;0;0;6;0;73.3;48.8;33.3;0;0;3;1;1;0;18;19;19;6;65.75;2.63;A
Internazionale;Parma;1;29;46;0;0;433;21;52.6;1;0;0;3;1;89.3;71.4;37.5;0;3;4;1;3;0;15;15;21;1;226.1;8.37;0;0;3511;14;50.27;2;0;1;2;0;78.9;66.7;100;0;2;8;1;2;0;16;14;18;0;40.3;1.61;x
Genoa;Cagliari;0;20;47;1;0;343;20;47.23;5;2;0;7;4;85.6;64.3;33.3;1;4;5;3;2;0;18;35;16;1;72.13;2.58;2;0;433;13;51.21;3;0;0;9;0;75;42.9;40;8;4;5;0;2;2;17;19;16;0;64.1;2.21;A
Parma;Juventus;0;-61;46;0;0;352;13;42.9;2;0;0;9;1;79.3;57.9;50;2;2;4;2;3;3;17;25;13;1;40.3;1.61;10;0;4312;19;55.37;4;3;0;4;1;88;65;0;0;4;11;1;0;0;24;24;12;6;353.3;14.72;A
Cesena;Chievo;0;-10;45;0;0;4312;14;49.55;2;3;0;7;1;76.5;56.4;40;1;2;5;2;1;0;16;26;18;1;27.25;1.01;0;0;442;15;48.35;2;1;0;8;3;79.8;71;25;1;5;5;4;1;2;17;27;17;3;45.7;1.58;B
Milan;Sampdoria;0;-7;47;0;0;433;17;51.02;3;1;1;4;0;86.6;72.2;33.3;3;8;14;3;1;0;20;21;16;6;225.5;7.52;1;0;4231;13;48.82;4;0;0;10;0;82.5;63.6;100;0;2;7;1;4;1;18;14;17;3;65.75;2.63;x
Torino;Roma;0;-14;45;1;0;352;15;49.95;1;0;0;2;2;82.4;56.8;0;2;2;4;2;1;0;12;23;9;6;66;2.64;1;0;433;21;53.55;1;0;0;11;2;92;73.8;25;2;4;8;4;1;0;16;26;7;6;188.7;7.86;x
Sampdoria;Cesena;0;27;4;0;0;4231;16;59.99;6;4;0;5;2;85.9;59.1;25;5;4;8;3;3;0;24;15;16;1;108.7;3.88;1;0;4312;10;39.87;1;1;0;11;0;81.4;45;50;1;2;3;0;1;1;11;22;10;1;27.25;1.01;x
Internazionale;Milan;0;-1;46;2;0;4312;19;55.25;4;0;1;10;0;88.7;71.4;0;0;2;4;4;2;0;24;22;7;4;228.4;8.16;1;0;433;14;45.33;2;1;0;6;3;88.1;71.4;0;1;2;2;1;1;0;9;33;4;4;210.4;7.01;x
Roma;Atalanta;1;28;45;0;0;4231;17;55.32;3;0;2;6;1;88.4;85.7;0;3;5;5;3;2;2;10;24;10;4;253.7;8.46;2;0;4411;15;44.85;1;2;1;8;0;87.8;30.8;0;2;3;4;1;2;1;13;20;16;3;58.35;2.01;x
Fiorentina;Hellas Verona;0;16;45;1;0;433;16;57.67;5;1;2;8;0;85.1;68.8;0;1;6;12;5;1;0;13;23;21;3;174.65;5.46;2;0;433;12;43.77;3;0;0;11;1;77.4;56.3;0;1;1;4;3;3;1;21;15;15;1;38.45;1.42;B
Udinese;Milan;0;-8;46;2;0;4312;13;53.26;7;0;0;9;4;79.9;61.9;100;8;6;13;2;0;1;24;20;14;1;76.55;2.94;1;0;433;14;47.16;0;1;0;6;1;84.3;63.2;33.3;4;0;1;4;1;1;22;14;14;2;210.4;7.01;A
Atalanta;Empoli;1;-4;47;1;0;4231;16;50.22;3;2;0;9;3;77.4;56.4;0;0;3;5;3;4;0;18;28;6;4;58.35;2.01;0;0;4312;13;49.02;1;0;1;6;0;83.4;48;0;5;9;13;1;2;1;23;18;14;1;46.23;2.01;x
Hellas Verona;Sassuolo;1;0;48;1;1;433;14;54.64;5;1;0;6;1;83.9;76.2;50;3;5;6;3;3;3;12;27;7;3;52.68;1.95;0;0;343;18;53.04;2;1;1;7;0;89.2;70.6;50;1;4;7;3;3;2;14;17;9;1;83.05;2.86;A
Torino;Juventus;1;-29;45;0;0;352;19;51.42;2;1;0;4;2;87.8;62.9;0;4;2;7;2;2;1;10;25;11;2;57.7;2.31;0;0;4312;15;49.13;0;0;1;7;0;87.9;72.7;50;0;4;5;2;2;1;16;12;14;3;318.7;11.8;A
Udinese;Internazionale;0;-7;47;3;1;4312;11;46.3;3;2;0;5;1;77.9;59.3;0;0;3;3;0;4;1;13;23;19;4;76.55;2.94;1;0;4312;15;52.45;1;1;1;8;1;86.8;57.1;11.1;0;6;9;1;0;3;14;17;17;4;228.4;8.16;B
Cesena;Atalanta;0;-8;47;2;0;4312;15;50.8;1;2;0;10;6;73.9;50;50;0;2;2;2;1;2;20;32;22;1;27.25;1.01;0;0;442;11;48.5;1;4;1;10;2;73.2;55;0;0;2;5;2;2;1;;24;24;2;58.35;2.01;x
Sampdoria;Hellas Verona;0;-11;45;1;0;4312;17;54.48;2;2;0;8;3;89.6;82.1;33.3;6;6;7;4;1;1;15;20;21;1;108.7;3.88;2;0;352;11;45.8;3;3;0;7;3;77.8;76.5;0;0;2;3;2;3;0;21;10;24;6;38.45;1.42;x
Sassuolo;Palermo;0;-6;45;0;0;433;10;43.83;1;3;0;4;0;74.3;47.6;0;4;2;3;2;2;1;16;10;16;0;83.05;2.86;2;0;3511;17;53.96;6;2;1;12;1;83.1;63.2;33.3;3;5;6;7;1;1;21;22;14;1;75.8;2.71;x
Atalanta;Lazio;0;-30;45;1;0;451;13;50.57;4;1;1;9;1;75.4;43.8;50;3;5;9;2;3;0;25;26;19;2;58.35;2.01;3;0;4231;13;46.32;1;1;0;13;1;73.9;47.1;0;3;2;6;2;4;0;12;24;19;4;164.6;5.31;x
Hellas Verona;Udinese;0;2;45;1;0;433;14;55.15;4;2;0;6;2;87.3;80;25;7;4;6;1;1;1;18;15;13;4;38.45;1.42;1;0;4312;14;48.27;3;1;0;6;1;89.4;78.9;0;6;7;7;6;0;1;14;24;11;3;76.55;2.94;B
Internazionale;Chievo;0;8;6;1;0;4132;21;54.11;7;0;0;9;4;86.6;86.2;0;3;3;13;6;0;0;17;29;12;6;228.4;8.16;1;0;442;12;42.37;1;2;0;5;1;78.1;50;0;0;0;0;0;1;1;19;14;15;4;52.68;1.95;x
Napoli;Milan;0;13;46;0;0;4231;20;62.2;6;1;1;6;0;90.1;74.3;41.7;2;4;10;5;2;0;15;24;14;3;252.75;9.72;0;1;433;10;34.5;1;2;0;4;0;78.9;57.1;0;4;2;2;1;2;0;16;17;16;0;210.4;7.01;A
Chievo;Hellas Verona;2;1;48;2;0;442;14;53.04;2;1;1;11;1;78.8;58.8;50;0;5;6;3;3;1;12;23;11;4;52.68;1.95;4;0;433;14;49.15;2;3;1;10;1;77;65.4;50;0;5;8;5;4;0;;17;14;1;38.45;1.42;x
Empoli;Fiorentina;1;-11;45;0;0;4312;15;47.47;1;0;0;2;2;82.6;54.8;36.4;2;3;4;0;2;2;20;26;10;6;46.23;2.01;2;0;433;19;50.43;3;0;1;6;2;84.6;66;22.2;0;1;4;0;1;0;;29;9;3;174.65;5.46;B
Lazio;Internazionale;1;14;48;2;1;4231;13;46.36;2;0;1;9;0;81.6;53.3;0;4;6;8;2;3;0;19;22;8;4;164.6;5.31;1;0;4312;19;52.02;1;0;2;6;2;88;56;18.2;5;5;6;1;5;1;15;22;11;4;228.4;8.16;B
Internazionale;Juventus;1;-28;45;3;0;4312;21;55.39;5;0;0;9;1;87.7;70.4;0;2;7;10;4;3;1;19;36;5;4;228.9;7.89;0;0;4312;14;43.93;3;0;1;4;2;84.7;61.5;25;5;6;7;4;4;0;14;20;13;4;318.7;11.8;B
Sampdoria;Lazio;0;-9;45;2;0;4312;14;51.07;2;1;0;5;5;75.1;45.5;14.3;0;5;5;2;1;2;20;28;14;3;108.7;3.88;0;0;433;15;48.57;2;0;1;10;1;79.1;63.3;0;9;2;3;2;1;1;25;25;18;4;164.6;5.31;B
Atalanta;Genoa;1;-17;47;0;0;433;13;43.17;2;1;1;3;0;80.2;55.9;0;0;5;6;1;3;0;20;21;12;4;58.35;2.01;0;0;343;18;54.96;5;0;0;10;2;82.9;59.6;0;5;5;8;5;4;0;16;19;12;3;84.4;3.38;B
Hellas Verona;Empoli;1;0;47;0;0;4141;17;48.98;1;1;0;5;1;81.4;57.9;0;1;5;6;4;3;0;13;35;10;1;38.45;1.42;0;0;4312;19;49.89;2;1;0;7;0;88.7;63.6;20;0;4;6;0;4;1;10;25;13;3;43.23;1.88;A
Torino;Chievo;0;6;48;2;0;352;19;52.07;2;0;1;4;0;88.4;76;0;0;5;13;1;1;1;12;32;8;0;57.7;2.31;0;0;442;15;49.23;0;2;1;5;0;85.9;71.4;0;0;1;4;0;2;1;17;17;11;2;52.68;1.95;A
Napoli;Cesena;2;36;47;1;0;4231;16;55.03;2;1;1;5;0;81.2;37.9;16.7;3;4;8;1;3;1;21;12;21;4;252.75;9.72;1;0;442;16;45.13;0;1;0;6;0;87.1;68;71.4;2;3;5;1;3;0;16;24;13;0;27.25;1.01;A
Chievo;Atalanta;0;6;46;1;0;442;12;43.58;1;0;0;11;0;80.8;60;0;5;1;2;2;3;0;11;22;13;1;52.68;1.95;0;0;433;20;53.84;4;1;1;8;1;87.7;61.5;66.7;1;5;8;2;2;1;19;29;10;3;58.35;2.01;x
Empoli;Sampdoria;0;-13;49;1;0;4312;17;52.75;2;1;2;7;2;82.4;56.5;40;4;4;11;1;0;0;20;25;19;0;46.23;2.01;2;0;4312;14;42.94;2;1;0;9;3;76.7;58.8;50;4;0;2;2;3;0;20;23;21;3;108.7;3.88;x
Udinese;Sassuolo;0;-2;49;0;0;4312;17;56.15;7;1;0;6;0;82.6;52.5;0;1;3;9;3;2;1;20;23;13;0;76.55;2.94;1;0;433;12;45.33;3;0;0;6;0;80.4;64;45.5;3;3;4;0;1;2;22;9;14;6;83.05;2.86;B
Lazio;Roma;0;-1;47;3;0;4231;17;50.47;4;2;1;9;1;81.1;46.5;20;8;3;7;1;0;1;22;29;17;3;164.6;5.31;1;0;433;11;45.14;2;3;0;9;1;68.6;50;0;0;0;1;0;2;0;14;26;16;3;253.7;8.46;B
Sampdoria;Parma;0;37;48;0;0;4312;18;51.27;3;0;0;6;2;88.9;80;57.1;1;7;7;3;2;0;22;17;12;1;108.7;3.88;0;0;451;16;52.18;3;0;0;3;1;79.4;63.3;33.3;3;7;7;4;2;1;21;24;7;1;32.25;1.47;x
Hellas Verona;Roma;0;0;45;1;0;433;10;45.68;2;0;0;7;3;74.5;66.7;100;0;5;7;1;2;0;17;18;14;4;43.75;1.56;0;0;4231;18;54.75;1;2;0;4;1;87.6;75;20;3;5;10;4;3;0;17;23;10;4;253.7;8.46;x
Internazionale;Atalanta;0;0;47;1;0;4312;21;54.52;4;1;1;9;2;91.9;68.8;66.7;8;7;9;3;0;1;19;25;7;4;247.3;8.83;1;0;433;12;46.21;1;0;0;5;0;78.7;45;50;3;2;4;2;3;1;17;18;9;4;58.35;2.01;A
Juventus;Udinese;0;0;45;1;0;352;18;55.9;4;0;2;7;1;86.1;73.1;60;2;7;10;6;0;0;17;19;19;4;353.3;12.62;2;0;352;11;44.01;1;0;0;9;0;71.5;36.4;0;3;1;1;0;3;2;;13;16;4;76.55;2.94;B
Palermo;Genoa;0;0;46;1;0;352;15;45.91;2;0;1;4;1;81.9;60;0;5;1;4;1;3;0;13;19;16;4;58.55;2.02;0;0;3412;15;56.08;6;2;0;7;2;82.2;52.9;62.5;6;4;9;3;0;0;17;26;13;4;84.4;3.38;A
Sassuolo;Napoli;1;0;46;2;0;433;15;45.71;4;1;1;5;0;78.9;70;50;1;7;9;2;1;1;19;24;20;4;76.13;2.82;2;0;4312;13;52.95;0;0;0;15;2;74.2;46.4;0;5;1;5;1;5;2;12;15;14;4;252.75;9.72;A
Bologna;Sassuolo;0;-3;46;2;0;433;14;45.82;3;0;1;8;2;77.6;59.1;40;5;0;3;1;0;0;16;3;15;1;28.48;1.1;1;0;433;16;54.27;2;1;0;8;0;85.1;59.1;75;9;3;5;1;1;0;13;23;18;4;83.05;2.86;B
Milan;Empoli;1;0;46;0;0;4312;17;50.87;1;1;0;7;0;83.5;81.8;12.5;1;4;4;2;2;1;23;15;11;1;201.15;6.49;2;0;4312;14;51.19;4;0;0;10;2;84.2;53.8;60;4;5;9;2;3;2;11;31;9;1;46.23;2.01;A
Genoa;Hellas Verona;0;-1;46;0;0;433;16;48.34;1;2;0;9;1;86;57.9;62.5;0;7;9;4;0;0;14;26;13;1;83.1;3.2;1;0;433;12;52.82;2;2;0;7;1;72.9;60;0;0;2;5;3;1;2;20;17;11;2;38.45;1.42;A
Roma;Juventus;0;1;46;0;0;433;19;50.37;4;2;1;7;1;88.8;63;50;1;3;7;4;0;3;16;23;7;2;271.6;10.06;2;0;352;11;47.12;1;0;0;9;0;85.5;66.7;0;1;0;1;2;1;1;11;19;14;1;318.7;11.8;A
Fiorentina;Genoa;0;0;46;2;0;4231;18;51.36;2;2;0;11;0;88.7;68;100;2;3;6;0;1;1;20;20;11;3;132.55;4.91;2;0;343;12;47.84;1;1;0;11;3;79.4;38.7;100;0;2;3;1;1;0;14;31;5;3;83.1;3.2;A
Hellas Verona;Torino;0;-5;48;0;0;433;17;54.66;2;3;0;8;2;83.7;77.4;50;1;6;7;3;1;0;21;31;8;1;41.8;1.61;1;0;352;13;47.42;1;1;0;10;2;80.4;60.9;55.6;2;1;1;1;1;1;15;17;11;6;65.7;2.53;x
Internazionale;Milan;0;3;46;1;0;4312;15;46.81;4;1;0;9;3;79;90.9;50;0;5;7;2;2;1;15;30;17;6;238.98;8.54;2;0;4312;14;50.99;0;1;0;12;0;79.6;53.1;40;2;5;9;1;2;0;;32;11;3;201.15;6.49;A
Lazio;Udinese;0;0;47;0;0;4231;17;48.31;2;0;1;9;0;80.3;53.1;0;2;2;5;1;1;2;25;23;17;3;181.15;5.84;0;0;352;12;46.85;2;3;1;7;1;74.3;68;50;2;0;1;0;1;1;20;20;23;3;73.15;2.61;A
Palermo;Carpi;1;6;45;1;0;3511;18;49.14;1;0;0;8;0;79.7;76.5;16.7;18;3;5;3;1;0;17;33;9;6;53.78;1.92;2;0;352;12;51.24;2;1;0;12;3;72.9;70.4;0;23;2;3;2;3;1;14;21;12;0;36.83;1.42;x
Sassuolo;Atalanta;2;3;46;1;0;433;16;46.86;1;2;2;10;1;79.7;63;25;0;4;6;3;3;0;16;25;13;6;75.9;2.92;4;0;433;13;49.21;0;3;0;11;2;79.6;57.1;100;1;6;7;2;6;0;14;17;13;3;50.85;1.7;x
